UserID,LastName,FisrtName,UserFullName,Roll1,Roll2,Roll3,Roll4,Roll5,Roll6,Amount1,Amount2,Amount3,Amount4,TOTAL
1,"D","sandhya","sandhya D",4,2,2,2,3,3,0.0,0.0,2.0,2.0,4.00
2,"AutoBotLastName2","AutoBotFirstName2","AutoBotFirstName2 AutoBotLastName2",2,3,4,5,3,4,0,0,2.0,2.0,4.00
3,"AutoBotLastName3","AutoBotFirstName3","AutoBotFirstName3 AutoBotLastName3",4,1,2,5,2,4,0,1.3846893424036222,2.0,2.0,5.50
4,"AutoBotLastName4","AutoBotFirstName4","AutoBotFirstName4 AutoBotLastName4",4,4,2,5,5,3,0,0,2.0,4.0,6.00
5,"AutoBotLastName5","AutoBotFirstName5","AutoBotFirstName5 AutoBotLastName5",5,1,4,4,3,3,0,6.583219954648511,2.0,2.0,10.50
6,"AutoBotLastName6","AutoBotFirstName6","AutoBotFirstName6 AutoBotLastName6",6,6,4,5,1,2,0,0,0.0,2.0,2.00
7,"AutoBotLastName7","AutoBotFirstName7","AutoBotFirstName7 AutoBotLastName7",5,2,2,1,4,4,0,0,2.0,4.0,6.00
8,"AutoBotLastName8","AutoBotFirstName8","AutoBotFirstName8 AutoBotLastName8",2,5,5,3,6,5,16.205827160493826,19.927999999999997,2.0,0.0,38.25
9,"AutoBotLastName9","AutoBotFirstName9","AutoBotFirstName9 AutoBotLastName9",2,6,1,1,5,4,0,0,2.0,4.0,6.00
10,"AutoBotLastName10","AutoBotFirstName10","AutoBotFirstName10 AutoBotLastName10",6,1,2,1,3,1,0,0,2.0,2.0,4.00
11,"AutoBotLastName11","AutoBotFirstName11","AutoBotFirstName11 AutoBotLastName11",5,5,2,4,2,1,18.200000000000006,0,2.0,2.0,22.25
12,"AutoBotLastName12","AutoBotFirstName12","AutoBotFirstName12 AutoBotLastName12",4,4,1,1,1,2,0,16.026775510204082,2.0,2.0,20.00
13,"AutoBotLastName13","AutoBotFirstName13","AutoBotFirstName13 AutoBotLastName13",6,4,2,2,3,4,0,0,0.0,2.0,2.00
14,"AutoBotLastName14","AutoBotFirstName14","AutoBotFirstName14 AutoBotLastName14",5,2,6,4,2,1,0,0,0.0,0.0,0.00
15,"AutoBotLastName15","AutoBotFirstName15","AutoBotFirstName15 AutoBotLastName15",2,3,2,4,5,3,0,0,2.0,4.0,6.00
16,"AutoBotLastName16","AutoBotFirstName16","AutoBotFirstName16 AutoBotLastName16",2,4,4,3,4,1,12.557999999999998,9.632000000000001,2.0,2.0,26.25
17,"AutoBotLastName17","AutoBotFirstName17","AutoBotFirstName17 AutoBotLastName17",4,4,4,5,4,4,0,7.831999999999999,4.0,0.0,11.75
18,"AutoBotLastName18","AutoBotFirstName18","AutoBotFirstName18 AutoBotLastName18",5,6,2,5,5,5,0,0,0.0,0.0,0.00
19,"AutoBotLastName19","AutoBotFirstName19","AutoBotFirstName19 AutoBotLastName19",4,4,3,3,2,5,0,0,2.0,0.0,2.00
20,"AutoBotLastName20","AutoBotFirstName20","AutoBotFirstName20 AutoBotLastName20",3,4,5,6,1,3,7.0833719008264495,0,0.0,2.0,9.00
21,"AutoBotLastName21","AutoBotFirstName21","AutoBotFirstName21 AutoBotLastName21",5,6,2,3,3,2,0,0,0.0,0.0,0.00
22,"AutoBotLastName22","AutoBotFirstName22","AutoBotFirstName22 AutoBotLastName22",1,2,5,3,6,6,0,0,0.0,0.0,0.00
23,"AutoBotLastName23","AutoBotFirstName23","AutoBotFirstName23 AutoBotLastName23",5,2,5,4,1,3,0,0,0.0,2.0,2.00
24,"AutoBotLastName24","AutoBotFirstName24","AutoBotFirstName24 AutoBotLastName24",6,5,5,5,1,6,16.472000000000005,0,0.0,2.0,18.50
